,mz,diagIonsInChian,diagIonsInRing,characteristicMass
LMST01010351_13-14_0_0_ring,414.373,,"383.3308,365.3203","383.3308,365.3203"
LMST01010351_15-16_0_0_ring,414.373,,"383.3308,365.3203","383.3308,365.3203"
LMST01010352_15-16_0_0_ring,416.3887,,"385.3465,367.3359","385.3465,367.3359"
LMST01010353_15-16_0_0_ring,412.3574,,381.3152,381.3152
LMST01010353_19-20_0_0_ring,412.3574,,381.3152,381.3152
LMST01010354_12-13_0_0_ring,430.3679,,"399.3257,381.3152,363.3046","399.3257,381.3152,363.3046"
LMST01010354_14-15_0_0_ring,430.3679,,"399.3257,381.3152,363.3046","399.3257,381.3152,363.3046"
LMST01010355_12-13_0_0_ring,430.3679,,"399.3257,381.3152,363.3046","399.3257,381.3152,363.3046"
LMST01010355_14-15_0_0_ring,430.3679,,"399.3257,381.3152,363.3046","399.3257,381.3152,363.3046"
LMST01010356_13-14_0_0_ring,430.3679,,"399.3257,381.3152,363.3046","399.3257,381.3152,363.3046"
LMST01010356_15-16_0_0_ring,430.3679,,"399.3257,381.3152,363.3046","399.3257,381.3152,363.3046"
LMST01010357_12-13_0_0_ring,446.3628,,"415.3206,397.3101","415.3206,397.3101"
LMST01010357_25-26_0_0_ring,446.3628,,"415.3206,397.3101","415.3206,397.3101"
LMST01010358_13-14_0_0_ring,446.3628,,"415.3206,397.3101","415.3206,397.3101"
LMST01010360_13-14_0_0_ring,448.3785,,"417.3363,399.3257","417.3363,399.3257"
LMST01010361_15-16_0_0_ring,494.3476,,"463.3054,445.2948,427.2843","463.3054,445.2948,427.2843"
LMST01010367_28-29_0_0_ring,816.6711,,"785.6289,767.6184,749.6078","785.6289,767.6184,749.6078"
LMST01010368_30-31_0_0_ring,844.7024,,"813.6602,795.6497,777.6391","813.6602,795.6497,777.6391"
LMST01010369_32-33_0_0_ring,872.7337,,"841.6915,823.681,805.6704","841.6915,823.681,805.6704"
LMST01010370_34-35_0_0_ring,900.765,,"869.7228,851.7123,833.7017","869.7228,851.7123,833.7017"
LMST01010371_8-9_0_0_chain,814.6555,"156.1747,688.5146,670.5041,652.4935",,"156.1747,688.5146,670.5041,652.4935"
LMST01010371_28-29_0_0_ring,814.6555,,"783.6133,765.6027,747.5922","783.6133,765.6027,747.5922"
LMST01010372_5-6_0_0_chain,812.6398,"114.1277,728.5459,710.5354,692.5248",,"114.1277,728.5459,710.5354,692.5248"
LMST01010372_8-9_0_0_chain,812.6398,"154.159,688.5146,670.5041,652.4935",,"154.159,688.5146,670.5041,652.4935"
LMST01010372_28-29_0_0_ring,812.6398,,"781.5976,763.5871,745.5765","781.5976,763.5871,745.5765"
LMST01010373_2-3_0_0_chain,810.6242,"768.5772,750.5667,732.5561",,"768.5772,750.5667,732.5561"
LMST01010373_5-6_0_0_chain,810.6242,"112.1121,728.5459,710.5354,692.5248",,"112.1121,728.5459,710.5354,692.5248"
LMST01010373_8-9_0_0_chain,810.6242,"152.1434,688.5146,670.5041,652.4935",,"152.1434,688.5146,670.5041,652.4935"
LMST01010373_28-29_0_0_ring,810.6242,,"779.582,761.5714,743.5609","779.582,761.5714,743.5609"
LMST01010374_8-9_0_0_chain,842.6868,"156.1747,716.5459,698.5354,680.5248",,"156.1747,716.5459,698.5354,680.5248"
LMST01010374_30-31_0_0_ring,842.6868,,"811.6446,793.634,775.6235","811.6446,793.634,775.6235"
LMST01010375_5-6_0_0_chain,840.6711,"114.1277,756.5772,738.5667,720.5561",,"114.1277,756.5772,738.5667,720.5561"
LMST01010375_8-9_0_0_chain,840.6711,"154.159,716.5459,698.5354,680.5248",,"154.159,716.5459,698.5354,680.5248"
LMST01010375_30-31_0_0_ring,840.6711,,"809.6289,791.6184,773.6078","809.6289,791.6184,773.6078"
LMST01010376_2-3_0_0_chain,838.6555,"796.6085,778.598,760.5874",,"796.6085,778.598,760.5874"
LMST01010376_5-6_0_0_chain,838.6555,"112.1121,756.5772,738.5667,720.5561",,"112.1121,756.5772,738.5667,720.5561"
LMST01010376_8-9_0_0_chain,838.6555,"152.1434,716.5459,698.5354,680.5248",,"152.1434,716.5459,698.5354,680.5248"
LMST01010376_30-31_0_0_ring,838.6555,,"807.6133,789.6027,771.5922","807.6133,789.6027,771.5922"
LMST01010377_8-9_0_0_chain,870.7181,"156.1747,744.5772,726.5667,708.5561",,"156.1747,744.5772,726.5667,708.5561"
LMST01010377_32-33_0_0_ring,870.7181,,"839.6759,821.6653,803.6548","839.6759,821.6653,803.6548"
LMST01010378_5-6_0_0_chain,868.7024,"114.1277,784.6085,766.598,748.5874",,"114.1277,784.6085,766.598,748.5874"
LMST01010378_8-9_0_0_chain,868.7024,"154.159,744.5772,726.5667,708.5561",,"154.159,744.5772,726.5667,708.5561"
LMST01010378_32-33_0_0_ring,868.7024,,"837.6602,819.6497,801.6391","837.6602,819.6497,801.6391"
LMST01010379_2-3_0_0_chain,866.6868,"824.6398,806.6293,788.6187",,"824.6398,806.6293,788.6187"
LMST01010379_5-6_0_0_chain,866.6868,"112.1121,784.6085,766.598,748.5874",,"112.1121,784.6085,766.598,748.5874"
LMST01010379_8-9_0_0_chain,866.6868,"152.1434,744.5772,726.5667,708.5561",,"152.1434,744.5772,726.5667,708.5561"
LMST01010379_32-33_0_0_ring,866.6868,,"835.6446,817.634,799.6235","835.6446,817.634,799.6235"
LMST01010380_8-9_0_0_chain,898.7494,"156.1747,772.6085,754.598,736.5874",,"156.1747,772.6085,754.598,736.5874"
LMST01010380_34-35_0_0_ring,898.7494,,"867.7072,849.6966,831.6861","867.7072,849.6966,831.6861"
LMST01010381_5-6_0_0_chain,896.7337,"114.1277,812.6398,794.6293,776.6187",,"114.1277,812.6398,794.6293,776.6187"
LMST01010381_8-9_0_0_chain,896.7337,"154.159,772.6085,754.598,736.5874",,"154.159,772.6085,754.598,736.5874"
LMST01010381_34-35_0_0_ring,896.7337,,"865.6915,847.681,829.6704","865.6915,847.681,829.6704"
LMST01010382_2-3_0_0_chain,894.7181,"852.6711,834.6606,816.65",,"852.6711,834.6606,816.65"
LMST01010382_5-6_0_0_chain,894.7181,"112.1121,812.6398,794.6293,776.6187",,"112.1121,812.6398,794.6293,776.6187"
LMST01010382_8-9_0_0_chain,894.7181,"152.1434,772.6085,754.598,736.5874",,"152.1434,772.6085,754.598,736.5874"
LMST01010382_34-35_0_0_ring,894.7181,,"863.6759,845.6653,827.6548","863.6759,845.6653,827.6548"
LMST01010383_5-6_0_0_chain,866.6868,"114.1277,782.5929,764.5823,746.5718",,"114.1277,782.5929,764.5823,746.5718"
LMST01010383_8-9_0_0_chain,866.6868,"154.159,742.5616,724.551,706.5405",,"154.159,742.5616,724.551,706.5405"
LMST01010383_45-46_0_0_chain,866.6868,"768.5772,750.5667,732.5561,128.1434",,"768.5772,750.5667,732.5561,128.1434"
LMST01010383_30-31_0_0_ring,866.6868,,"835.6446,817.634,799.6235","835.6446,817.634,799.6235"
LMST01010385_9-10_0_0_ring,472.3785,,441.3363,441.3363
LMST01010386_1-2_0_0_chain,430.3679,"372.3261,354.3155",,"372.3261,354.3155"
LMST01010386_13-14_0_0_ring,430.3679,,"399.3257,381.3152","399.3257,381.3152"
LMST01010387_15-16_0_0_ring,430.3679,,"399.3257,381.3152","399.3257,381.3152"
LMST01010388_1-3_0_0_chain,472.3785,"430.3316,412.321",,"430.3316,412.321"
LMST01010388_12-13_0_0_ring,472.3785,,"441.3363,423.3257","441.3363,423.3257"
LMST01010389_15-16_0_0_ring,666.4575,,504.4047,504.4047
LMST01010390_16-17_0_0_ring,739.4739,,520.3996,520.3996
LMST01010391_14-15_0_0_ring,546.3425,,"515.3003,497.2897,479.2792","515.3003,497.2897,479.2792"
LMST01010392_14-15_0_0_ring,546.3425,,"515.3003,497.2897,479.2792","515.3003,497.2897,479.2792"
LMST01010393_14-15_0_0_ring,556.2905,,"525.2483,507.2377","525.2483,507.2377"
LMST01010394_1-2_0_0_chain,484.3785,"102.055,412.3574",,"102.055,412.3574"
LMST01010394_12-13_0_0_ring,484.3785,,453.3363,453.3363
LMST01010395_1-2_0_0_chain,430.3679,"372.3261,354.3155",,"372.3261,354.3155"
LMST01010395_13-14_0_0_ring,430.3679,,"399.3257,381.3152","399.3257,381.3152"
LMST01010396_14-15_0_0_ring,578.4415,,"547.3993,529.3887,511.3782","547.3993,529.3887,511.3782"
LMST01010399_24-25_0_0_ring,760.6085,,"729.5663,711.5558,693.5452","729.5663,711.5558,693.5452"
LMST01010400_0-1_0_0_chain,428.3887,"414.373,396.3625",,"414.373,396.3625"
LMST01010400_2-3_0_0_ring,428.3887,,"397.3465,379.3359","397.3465,379.3359"
LMST01010401_28-29_0_0_ring,816.6711,,"785.6289,767.6184,749.6078","785.6289,767.6184,749.6078"
LMST01010402_0-1_0_0_chain,410.3417,396.3261,,396.3261
LMST01010402_4-5_0_0_chain,410.3417,368.2948,,368.2948
LMST01010402_15-16_0_0_ring,410.3417,,379.2995,379.2995
LMST01010403_11-12_0_0_ring,520.3269,,"489.2847,471.2741","489.2847,471.2741"
LMST01010404_1-4_0_0_chain,482.3628,426.3366,,426.3366
LMST01010404_14-15_0_0_ring,482.3628,,451.3206,451.3206
LMST01010405_1-2_0_0_chain,486.3941,"428.3523,410.3417",,"428.3523,410.3417"
LMST01010405_12-13_0_0_ring,486.3941,,"455.3519,437.3414","455.3519,437.3414"
LMST01010406_1-2_0_0_chain,484.3785,426.3366,,426.3366
LMST01010406_12-13_0_0_ring,484.3785,,453.3363,453.3363
LMST01010407_3-4_0_0_chain,468.3472,412.321,,412.321
LMST01010407_13-14_0_0_ring,468.3472,,437.305,437.305
LMST01010408_7-8_0_0_chain,750.4059,"144.1019,636.3378,618.3273,600.3167",,"144.1019,636.3378,618.3273,600.3167"
LMST01010408_22-23_0_0_ring,750.4059,,"719.3637,701.3531,683.3426","719.3637,701.3531,683.3426"
LMST01010409_22-23_0_0_ring,752.4215,,"721.3793,703.3688,685.3582","721.3793,703.3688,685.3582"
LMST01010410_4-5_0_0_chain,708.3953,"102.0913,636.3378,618.3273,600.3167",,"102.0913,636.3378,618.3273,600.3167"
LMST01010410_19-20_0_0_ring,708.3953,,"677.3531,659.3426,641.332","677.3531,659.3426,641.332"
LMST01010411_19-20_0_0_ring,710.411,,"679.3688,661.3582,643.3476","679.3688,661.3582,643.3476"
LMST01010412_3-4_0_0_chain,444.3836,"402.3366,384.3261",,"402.3366,384.3261"
LMST01010412_16-17_0_0_ring,444.3836,,"413.3414,395.3308","413.3414,395.3308"
LMST01010413_14-15_0_0_ring,544.3269,,"513.2847,495.2741,477.2635","513.2847,495.2741,477.2635"
LMST01010414_14-15_0_0_ring,560.3218,,"529.2796,511.269,493.2584","529.2796,511.269,493.2584"
LMST01010415_14-15_0_0_ring,562.3374,,"531.2952,513.2847,495.2741","531.2952,513.2847,495.2741"
LMST01010416_14-15_0_0_ring,560.3218,,"529.2796,511.269,493.2584","529.2796,511.269,493.2584"
LMST01010417_14-15_0_0_ring,604.3116,,"573.2694,555.2588,537.2483","573.2694,555.2588,537.2483"
LMST01010418_14-15_0_0_ring,558.3061,,"527.2639,509.2534,491.2428","527.2639,509.2534,491.2428"
LMST01010419_14-15_0_0_ring,546.3425,,"515.3003,497.2897,479.2792","515.3003,497.2897,479.2792"
LMST01010422_16-17_0_0_ring,526.3374,,"495.2952,477.2847,459.2741","495.2952,477.2847,459.2741"
LMST01010423_16-17_0_0_ring,524.3218,,"493.2796,475.269,457.2584","493.2796,475.269,457.2584"
LMST01010424_19-20_0_0_ring,568.348,,"537.3058,519.2952,501.2847","537.3058,519.2952,501.2847"
LMST01010425_19-20_0_0_ring,566.3687,,"535.3265,517.316,499.3054","535.3265,517.316,499.3054"
LMST01010426_13-14_0_0_ring,540.3531,,"509.3109,491.3003,473.2897","509.3109,491.3003,473.2897"
LMST01010427_19-20_0_0_ring,566.3323,,535.2901,535.2901
LMST01010428_19-20_0_0_ring,568.348,,"537.3058,519.2952,501.2847","537.3058,519.2952,501.2847"
LMST01010429_15-16_0_0_ring,510.3425,,"479.3003,461.2897,443.2792","479.3003,461.2897,443.2792"
LMST01010430_13-14_0_0_ring,686.411,,"655.3688,637.3582,619.3476","655.3688,637.3582,619.3476"
LMST01010431_22-23_0_0_ring,596.3793,,"565.3371,547.3265,529.316","565.3371,547.3265,529.316"
LMST01010432_15-16_0_0_ring,654.3848,,"623.3426,605.332,587.3214","623.3426,605.332,587.3214"
LMST01010433_12-13_0_0_ring,638.3898,,"607.3476,589.3371,571.3265","607.3476,589.3371,571.3265"
LMST01010433_14-15_0_0_ring,638.3898,,"607.3476,589.3371,571.3265","607.3476,589.3371,571.3265"
LMST01010434_12-13_0_0_ring,652.3691,,"621.3269,603.3163,585.3058","621.3269,603.3163,585.3058"
LMST01010434_14-15_0_0_ring,652.3691,,"621.3269,603.3163,585.3058","621.3269,603.3163,585.3058"
LMST01010434_39-40_0_0_ring,652.3691,,"621.3269,603.3163,585.3058","621.3269,603.3163,585.3058"
LMST01010435_14-15_0_0_ring,640.4055,,"609.3633,591.3527,573.3422","609.3633,591.3527,573.3422"
LMST01010436_15-16_0_0_ring,656.4004,,"625.3582,607.3476,589.3371","625.3582,607.3476,589.3371"
LMST01010437_12-13_0_0_ring,478.3527,,"447.3105,429.2999,411.2894","447.3105,429.2999,411.2894"
LMST01010437_14-15_0_0_ring,478.3527,,"447.3105,429.2999,411.2894","447.3105,429.2999,411.2894"
LMST01010438_16-17_0_0_ring,526.3374,,"495.2952,477.2847,459.2741","495.2952,477.2847,459.2741"
LMST01010439_32-33_0_0_ring,732.5772,,"701.535,683.5245,665.5139","701.535,683.5245,665.5139"
LMST01010440_34-35_0_0_ring,760.6085,,"729.5663,711.5558,693.5452","729.5663,711.5558,693.5452"
LMST01010441_6-7_0_0_chain,730.5616,"128.1434,632.452,614.4415,596.4309",,"128.1434,632.452,614.4415,596.4309"
LMST01010441_32-33_0_0_ring,730.5616,,"699.5194,681.5088,663.4983","699.5194,681.5088,663.4983"
LMST01010442_8-9_0_0_chain,758.5929,"156.1747,632.452,614.4415,596.4309",,"156.1747,632.452,614.4415,596.4309"
LMST01010442_34-35_0_0_ring,758.5929,,"727.5507,709.5401,691.5296","727.5507,709.5401,691.5296"
LMST01010443_5-6_0_0_chain,756.5772,"114.1277,672.4834,654.4728,636.4622",,"114.1277,672.4834,654.4728,636.4622"
LMST01010443_8-9_0_0_chain,756.5772,"154.159,632.452,614.4415,596.4309",,"154.159,632.452,614.4415,596.4309"
LMST01010443_34-35_0_0_ring,756.5772,,"725.535,707.5245,689.5139","725.535,707.5245,689.5139"
LMST01010444_15-16_0_0_ring,446.3628,,"415.3206,397.3101,379.2995","415.3206,397.3101,379.2995"
LMST01010445_13-14_0_0_ring,446.3628,,"415.3206,397.3101,379.2995","415.3206,397.3101,379.2995"
LMST01010446_13-14_0_0_ring,446.3628,,"415.3206,397.3101,379.2995","415.3206,397.3101,379.2995"
LMST01010448_14-15_0_0_ring,548.4309,,"517.3887,499.3782,481.3676","517.3887,499.3782,481.3676"
LMST01010449_16-17_0_0_ring,446.3628,,"415.3206,397.3101,379.2995","415.3206,397.3101,379.2995"
LMST01010450_26-27_0_0_ring,448.3785,,"417.3363,399.3257,381.3152","417.3363,399.3257,381.3152"
LMST01010451_22-23_0_0_ring,576.3531,,545.3109,545.3109
LMST01010452_22-23_0_0_ring,594.3636,,"563.3214,545.3109,527.3003","563.3214,545.3109,527.3003"
LMST01010453_17-18_0_0_ring,578.3687,,"547.3265,529.316,511.3054","547.3265,529.316,511.3054"
LMST01010454_17-18_0_0_ring,578.3687,,"547.3265,529.316,511.3054","547.3265,529.316,511.3054"
LMST01010455_7-8_0_0_chain,604.348,"144.1019,490.2799,472.2694,454.2588",,"144.1019,490.2799,472.2694,454.2588"
LMST01010455_23-24_0_0_ring,604.348,,"573.3058,555.2952,537.2847","573.3058,555.2952,537.2847"
LMST01010456_11-12_0_0_ring,432.2744,,"401.2322,383.2217","401.2322,383.2217"
LMST01010457_22-23_0_0_ring,622.3585,,"591.3163,573.3058,555.2952","591.3163,573.3058,555.2952"
LMST01010459_25-26_0_0_ring,448.3785,,"417.3363,399.3257","417.3363,399.3257"
LMST01010460_16-17_0_0_ring,448.3785,,"417.3363,399.3257","417.3363,399.3257"
LMST01010462_16-17_0_0_ring,448.3785,,"417.3363,399.3257,381.3152","417.3363,399.3257,381.3152"
LMST01010463_25-26_0_0_ring,446.3628,,"415.3206,397.3101,379.2995","415.3206,397.3101,379.2995"
LMST01010464_26-27_0_0_ring,462.3578,,"431.3156,413.305,395.2944","431.3156,413.305,395.2944"
LMST01010465_25-26_0_0_ring,446.3628,,"415.3206,397.3101,379.2995","415.3206,397.3101,379.2995"
LMST01010466_16-17_0_0_ring,448.3785,,"417.3363,399.3257,381.3152","417.3363,399.3257,381.3152"
LMST01010467_8-9_0_0_ring,518.3476,,"487.3054,469.2948,451.2843","487.3054,469.2948,451.2843"
LMST01010467_14-15_0_0_ring,518.3476,,"487.3054,469.2948,451.2843","487.3054,469.2948,451.2843"
LMST01010468_1-3_0_0_chain,430.3679,"388.321,370.3104,352.2999",,"388.321,370.3104,352.2999"
LMST01010468_15-16_0_0_ring,430.3679,,"399.3257,381.3152,363.3046","399.3257,381.3152,363.3046"
LMST01010469_13-14_0_0_ring,506.3112,,"475.269,457.2584,439.2479","475.269,457.2584,439.2479"
LMST01010469_15-16_0_0_ring,506.3112,,"475.269,457.2584,439.2479","475.269,457.2584,439.2479"
LMST01010469_29-30_0_0_ring,506.3112,,"475.269,457.2584,439.2479","475.269,457.2584,439.2479"
LMST01010470_15-16_0_0_ring,508.3269,,"477.2847,459.2741,441.2635","477.2847,459.2741,441.2635"
LMST01010470_29-30_0_0_ring,508.3269,,"477.2847,459.2741,441.2635","477.2847,459.2741,441.2635"
LMST01010471_14-15_0_0_ring,476.337,,"445.2948,427.2843,409.2737","445.2948,427.2843,409.2737"
LMST01010471_27-28_0_0_ring,476.337,,"445.2948,427.2843,409.2737","445.2948,427.2843,409.2737"
LMST01010472_15-16_0_0_ring,490.3163,,"459.2741,441.2635,423.253","459.2741,441.2635,423.253"
LMST01010472_28-29_0_0_ring,490.3163,,"459.2741,441.2635,423.253","459.2741,441.2635,423.253"
LMST01010473_15-16_0_0_ring,492.3319,,"461.2897,443.2792,425.2686","461.2897,443.2792,425.2686"
LMST01010473_28-29_0_0_ring,492.3319,,"461.2897,443.2792,425.2686","461.2897,443.2792,425.2686"
LMST01010474_15-16_0_0_ring,492.3319,,"461.2897,443.2792,425.2686","461.2897,443.2792,425.2686"
LMST01010474_28-29_0_0_ring,492.3319,,"461.2897,443.2792,425.2686","461.2897,443.2792,425.2686"
LMST01010475_15-16_0_0_ring,494.3476,,"463.3054,445.2948,427.2843","463.3054,445.2948,427.2843"
LMST01010476_15-16_0_0_ring,494.3476,,"463.3054,445.2948,427.2843","463.3054,445.2948,427.2843"
LMST01010477_15-16_0_0_ring,494.3476,,"463.3054,445.2948,427.2843","463.3054,445.2948,427.2843"
LMST01010478_6-7_0_0_ring,548.3218,,517.2796,517.2796
LMST01010478_19-20_0_0_ring,548.3218,,"517.2796,499.269,481.2584","517.2796,499.269,481.2584"
LMST01010480_5-6_0_0_chain,464.3734,"116.107,378.3002,360.2897,342.2791",,"116.107,378.3002,360.2897,342.2791"
LMST01010481_16-17_0_0_ring,448.3785,,"417.3363,399.3257,381.3152","417.3363,399.3257,381.3152"
LMST01010482_16-17_0_0_ring,448.3785,,"417.3363,399.3257,381.3152","417.3363,399.3257,381.3152"
LMST01010483_14-15_0_0_chain,520.3996,"114.1277,436.3057,418.2952,400.2846",,"114.1277,436.3057,418.2952,400.2846"
LMST01010484_15-16_0_0_chain,538.3738,"450.3214,432.3108,414.3003,118.0862",,"450.3214,432.3108,414.3003,118.0862"
LMST01010485_1-3_0_0_chain,446.3628,"404.3159,386.3053,368.2948",,"404.3159,386.3053,368.2948"
LMST01010486_24-25_0_0_ring,432.3836,,"401.3414,383.3308,365.3203","401.3414,383.3308,365.3203"
LMST01010487_13-14_0_0_ring,402.3366,,"371.2944,353.2839","371.2944,353.2839"
LMST01010488_17-18_0_0_ring,524.3582,,"493.316,475.3054,457.2948","493.316,475.3054,457.2948"
LMST01010489_14-15_0_0_ring,608.4157,,"577.3735,559.3629,541.3523","577.3735,559.3629,541.3523"
LMST01010491_1-3_0_0_chain,464.3734,"422.3265,404.3159,386.3053",,"422.3265,404.3159,386.3053"
LMST01010492_3-4_0_0_chain,450.3578,"394.2952,376.2846,358.274",,"394.2952,376.2846,358.274"
LMST01010493_9-10_0_0_ring,518.3476,,"487.3054,469.2948,451.2843","487.3054,469.2948,451.2843"
LMST01010494_17-18_0_0_ring,518.3476,,"487.3054,469.2948,451.2843","487.3054,469.2948,451.2843"
LMST01010495_9-10_0_0_ring,560.3582,,"529.316,511.3054","529.316,511.3054"
LMST01010496_18-19_0_0_ring,534.3425,,"503.3003,485.2897,467.2792","503.3003,485.2897,467.2792"
LMST01010497_16-17_0_0_ring,534.3425,,"503.3003,485.2897,467.2792","503.3003,485.2897,467.2792"
LMST01010498_34-35_0_0_ring,576.3531,,"545.3109,527.3003,509.2897","545.3109,527.3003,509.2897"
LMST01010499_18-19_0_0_ring,492.3319,,"461.2897,443.2792,425.2686","461.2897,443.2792,425.2686"
LMST01010500_16-17_0_0_ring,460.3421,,"429.2999,411.2894,393.2788","429.2999,411.2894,393.2788"
LMST01010501_15-16_0_0_ring,446.3628,,"415.3206,397.3101,379.2995","415.3206,397.3101,379.2995"
LMST01010502_20-21_0_0_chain,502.3527,"402.3002,384.2897,130.0862,112.0757",,"402.3002,384.2897,130.0862,112.0757"
LMST01010502_9-10_0_0_ring,502.3527,,"471.3105,453.2999,435.2894","471.3105,453.2999,435.2894"
LMST01010503_4-5_0_0_chain,428.3523,"100.1121,358.274,340.2635",,"100.1121,358.274,340.2635"
LMST01010503_19-20_0_0_ring,428.3523,,"397.3101,379.2995","397.3101,379.2995"
LMST01010504_17-18_0_0_ring,444.3472,,"413.305,395.2944,377.2839","413.305,395.2944,377.2839"
LMST01010504_21-22_0_0_ring,444.3472,,"413.305,395.2944,377.2839","413.305,395.2944,377.2839"
LMST01010505_10-11_0_0_ring,518.384,,"487.3418,469.3312","487.3418,469.3312"
LMST01010509_14-15_0_0_ring,432.3836,,"401.3414,383.3308,365.3203","401.3414,383.3308,365.3203"
LMST01010511_1-3_0_0_chain,530.3476,"488.3006,470.2901,452.2795",,"488.3006,470.2901,452.2795"
LMST01010511_12-13_0_0_ring,530.3476,,"499.3054,481.2948,463.2843","499.3054,481.2948,463.2843"
LMST01010512_20-21_0_0_ring,566.3687,,"535.3265,517.316,499.3054","535.3265,517.316,499.3054"
LMST01010513_18-19_0_0_ring,636.4106,,"605.3684,587.3578,569.3473","605.3684,587.3578,569.3473"
LMST01010514_17-18_0_0_ring,580.3844,,"549.3422,531.3316,513.321","549.3422,531.3316,513.321"
LMST01010515_19-20_0_0_ring,550.3738,,"519.3316,501.321,483.3105","519.3316,501.321,483.3105"
LMST01010516_21-22_0_0_ring,590.3687,,"559.3265,541.316,523.3054","559.3265,541.316,523.3054"
LMST01010517_7-8_0_0_chain,588.3531,"144.1019,474.285,456.2744,438.2639",,"144.1019,474.285,456.2744,438.2639"
LMST01010517_21-22_0_0_ring,588.3531,,"557.3109,539.3003,521.2897","557.3109,539.3003,521.2897"
LMST01010518_22-23_0_0_ring,592.3844,,"561.3422,543.3316,525.321","561.3422,543.3316,525.321"
LMST01010519_4-5_0_0_chain,548.3582,"102.0913,476.3006,458.2901,440.2795",,"102.0913,476.3006,458.2901,440.2795"
LMST01010519_19-20_0_0_ring,548.3582,,"517.316,499.3054,481.2948","517.316,499.3054,481.2948"
LMST01010520_16-17_0_0_ring,494.3476,,"463.3054,445.2948,427.2843","463.3054,445.2948,427.2843"
LMST01020001_19-20_0_0_ring,598.5557,,"367.3359,398.3781,567.5135","367.3359,398.3781,567.5135"
LMST01020004_21-22_0_0_ring,626.587,,"367.3359,398.3781,595.5448","367.3359,398.3781,595.5448"
LMST01020021_4-5_0_0_chain,624.5714,"100.1121,186.1488,256.2271,369.3516,554.4931",,"100.1121,186.1488,256.2271,369.3516,554.4931"
LMST01020021_21-22_0_0_ring,624.5714,,"367.3359,398.3781,593.5292","367.3359,398.3781,593.5292"
LMST01020027_22-23_0_0_ring,640.6027,,"367.3359,398.3781,609.5605","367.3359,398.3781,609.5605"
LMST01020022_5-6_0_0_chain,638.587,"114.1277,186.1488,270.2427,369.3516,554.4931",,"114.1277,186.1488,270.2427,369.3516,554.4931"
LMST01020022_22-23_0_0_ring,638.587,,"367.3359,398.3781,607.5448","367.3359,398.3781,607.5448"
LMST01020005_23-24_0_0_ring,654.6183,,"367.3359,398.3781,623.5761","367.3359,398.3781,623.5761"
LMST01020006_6-7_0_0_chain,652.6027,"128.1434,186.1488,284.2584,369.3516,554.4931",,"128.1434,186.1488,284.2584,369.3516,554.4931"
