,mz,diagIonsInChian,diagIonsInRing,characteristicMass,RT,CCS,Standard
LMST01010121_1-3_0_0_chain,412.35737,"370.31042,352.29986",,"370.31042,352.29986",421.1154785,217.3422653,
LMST01010121_14-15_0_0_ring,412.35737,,"381.31517,363.30461","381.31517,363.30461",400.4770508,218.5382186,
LMST01010122_12-13_0_0_ring,430.367934,,"399.325734,381.315174,363.304614","399.325734,381.315174,363.304614",623.2142944,218.0186763,
LMST01010122_14-15_0_0_ring,430.367934,,"399.325734,381.315174,363.304614","399.325734,381.315174,363.304614",570.0499268,218.1304237,
LMST01010123_15-16_0_0_ring,448.378497,,"417.336297,399.325737,381.315177","417.336297,399.325737,381.315177",482.9807129,218.4833463,
LMST01010124_1-3_0_0_chain,472.414881,"430.36793,412.35737",,"430.36793,412.35737",378.3442688,232.7551035,
LMST01010124_14-15_0_0_ring,472.414881,,"441.372681,423.362121","441.372681,423.362121",586.5701904,229.928265,
LMST01010128_16-17_0_0_ring,448.378497,,"417.336297,399.325737,381.315177","417.336297,399.325737,381.315177",483.0120544,222.7374197,
LMST01010129_16-17_0_0_ring,448.378497,,"417.336297,399.325737,381.315177","417.336297,399.325737,381.315177",542.4732056,222.8444326,
LMST01010131_16-17_0_0_ring,448.378497,,"417.336297,399.325737,381.315177","417.336297,399.325737,381.315177",485.265625,221.3757427,
LMST01010132_15-17_0_0_ring,448.378497,,"417.336297,399.325737,381.315177","417.336297,399.325737,381.315177",534.7671509,219.9973645,
LMST01010133_15-16_0_0_ring,430.367934,,"399.325734,381.315174","399.325734,381.315174",450.2463379,222.5554301,
LMST01010136_13-14_0_0_ring,430.404318,,"399.362118,381.351558","399.362118,381.351558",792.6042104,221.4504758,
LMST01010137_14-15_0_0_ring,430.404318,,"399.362118,381.351558","399.362118,381.351558",440.3254953,225.2639948,
LMST01010138_14-15_0_0_ring,430.404318,,"399.362118,381.351558","399.362118,381.351558",498.6843217,225.2639948,
LMST01010141_13-14_0_0_ring,456.419967,,"425.377767,407.367207","425.377767,407.367207",603.9598389,224.1672526,
LMST01010141_26-27_0_0_ring,456.419967,,"425.377767,407.367207","425.377767,407.367207",586.3383179,224.2804201,
LMST01010142_1-3_0_0_chain,456.419967,"414.37302,396.36246",,"414.37302,396.36246",520.5268555,233.706246,
LMST01010142_26-27_0_0_ring,456.419967,,"425.377767,407.367207","425.377767,407.367207",592.3122559,225.7310431,
LMST01010143_1-3_0_0_chain,442.404318,"400.35737,382.34681",,"400.35737,382.34681",544.7752075,230.6722486,
LMST01010143_13-14_0_0_ring,442.404318,,"411.362118,393.351558","411.362118,393.351558",603.5653076,223.2035178,
LMST01010149_10-11_0_0_ring,440.388669,,"409.346469,391.335909","409.346469,391.335909",465.5426025,231.1478878,
LMST01010149_12-13_0_0_ring,440.388669,,"409.346469,391.335909","409.346469,391.335909",569.2472534,225.2498002,
LMST01010149_1-3_0_0_chain,440.388669,"398.34172,380.33116",,"398.34172,380.33116",414.3488464,222.7147885,
LMST01010152_12-13_0_0_ring,458.362848,,"427.320648,409.310088,391.299528","427.320648,409.310088,391.299528",522.2566528,224.0823771,
LMST01010152_1-3_0_0_chain,458.362848,"416.3159,398.30534,380.29478",,"416.3159,398.30534,380.29478",279.2598267,218.4463388,
LMST01010158_17-18_0_0_ring,542.332332,,"511.29013199999997,493.2795719999999,475.269012","511.29013199999997,493.2795719999999,475.269012",247.9481812,226.6920723,
LMST01010164_15-16_0_0_ring,432.383583,,"401.341383,383.330823,365.320263","401.341383,383.330823,365.320263",512.446167,222.6193457,
LMST01010167_12-13_0_0_ring,426.37302,,395.33082,395.33082,557.3236084,225.1837047,
LMST01010167_1-3_0_0_chain,426.37302,384.32607,,384.32607,344.8758545,223.4788411,
LMST01010168_12-13_0_0_ring,412.35737,,381.31517,381.31517,591.5098877,221.8538978,
LMST01010168_1-3_0_0_chain,412.35737,370.31042,,370.31042,432.8639526,221.0033703,
LMST01010169_12-13_0_0_ring,444.383583,,"413.341383,395.330823,377.320263","413.341383,395.330823,377.320263",605.397644,228.7686316,
LMST01010169_1-3_0_0_chain,444.383583,"402.33664,384.32608,366.31552",,"402.33664,384.32608,366.31552",445.3289795,221.5001852,
LMST01010170_10-11_0_0_ring,456.383583,,"425.341383,407.330823","425.341383,407.330823",537.4055176,229.5284398,
LMST01010170_23-24_0_0_chain,456.383583,"414.33664,396.32608",,"414.33664,396.32608",214.651123,223.2699938,
LMST01010171_12-13_0_0_ring,442.367934,,"411.325734,393.315174","411.325734,393.315174",583.8416138,228.6031916,
LMST01010171_1-3_0_0_chain,442.367934,"400.32099,382.31043",,"400.32099,382.31043",367.736145,222.3672954,
LMST01010172_15-16_0_0_ring,492.331941,,"461.289741,443.279181,425.268621","461.289741,443.279181,425.268621",119.3812866,225.1770414,
LMST01010173_14-15_0_0_ring,578.441485,,"547.399285,529.3887249999999,511.37816499999997","547.399285,529.3887249999999,511.37816499999997",598.9022217,261.115642,
LMST01010175_12-13_0_0_ring,474.394146,,"443.351946,425.341386","443.351946,425.341386",588.2039795,226.5191265,
LMST01010176_12-13_0_0_ring,442.404318,,"411.362118,393.351558","411.362118,393.351558",591.7185669,232.9431486,
LMST01010176_1-3_0_0_chain,442.404318,"400.35737,382.34681",,"400.35737,382.34681",377.4692688,224.4614007,
LMST01010177_17-18_0_0_ring,542.332332,,"511.29013199999997,493.2795719999999,475.269012","511.29013199999997,493.2795719999999,475.269012",226.9938049,226.1991885,
LMST01010178_17-18_0_0_ring,542.332332,,"511.29013199999997,493.2795719999999,475.269012","511.29013199999997,493.2795719999999,475.269012",240.9984131,226.6920723,
LMST01010179_13-14_0_0_ring,446.362848,,"415.320648,397.310088,379.299528","415.320648,397.310088,379.299528",489.4909668,218.9167491,
LMST01010180_15-16_0_0_ring,492.331941,,"461.289741,443.279181,425.268621","461.289741,443.279181,425.268621",154.9056702,225.515324,
LMST01010181_20-21_0_0_ring,574.313919,,"543.2717190000001,525.261159,507.2505990000001","543.2717190000001,525.261159,507.2505990000001",287.3586121,235.0265551,
LMST01010182_15-16_0_0_ring,478.352676,,"447.310476,429.299916,411.289356","447.310476,429.299916,411.289356",337.2735291,222.7872722,
LMST01010183_19-20_0_0_ring,558.319005,,"527.276805,509.2662449999999,491.25568499999997","527.276805,509.2662449999999,491.25568499999997",399.2900391,235.0265551,
LMST01010184_17-18_0_0_ring,526.337418,,"495.295218,477.284658,459.274098","495.295218,477.284658,459.274098",261.2470703,227.491921,
LMST01010185_20-21_0_0_ring,590.308833,,"559.2666330000001,541.256073,523.2455130000001","559.2666330000001,541.256073,523.2455130000001",295.2182007,235.0265551,
LMST01010186_16-17_0_0_ring,510.342504,,"479.30030400000004,461.28974400000004,443.27918400000004","479.30030400000004,461.28974400000004,443.27918400000004",241.8700867,226.4499557,
LMST01010187_14-15_0_0_ring,478.352676,,"447.310476,429.299916,411.289356","447.310476,429.299916,411.289356",470.6048584,225.7624566,
LMST01010188_9-10_0_0_ring,616.324482,,"585.282282,567.271722,549.261162","585.282282,567.271722,549.261162",338.3264465,235.0265551,
LMST01010189_12-13_0_0_ring,474.394146,,"443.351946,425.341386","443.351946,425.341386",594.031189,226.5191265,
LMST01010191_13-14_0_0_ring,536.358153,,"505.31595300000004,487.305393,469.29483300000004","505.31595300000004,487.305393,469.29483300000004",312.2835083,233.2568501,
LMST01010192_26-27_0_0_ring,656.400407,,"625.358207,607.3476469999999,589.337087","625.358207,607.3476469999999,589.337087",505.7874146,255.2876491,
LMST01010193_14-15_0_0_ring,492.331941,,"461.289741,443.279181,425.268621","461.289741,443.279181,425.268621",254.1114502,222.2583086,
LMST01010194_16-17_0_0_ring,510.342504,,"479.30030400000004,461.28974400000004,443.27918400000004","479.30030400000004,461.28974400000004,443.27918400000004",312.6760559,226.5219299,
LMST01010195_15-16_0_0_ring,494.34759,,"463.30539000000005,445.29483000000005,427.28427000000005","463.30539000000005,445.29483000000005,427.28427000000005",369.8387451,225.17088,
LMST01010197_12-13_0_0_ring,430.404318,,"399.362118,381.351558","399.362118,381.351558",461.1273193,223.5349943,
LMST01010198_16-17_0_0_ring,526.337418,,"495.295218,477.284658,459.274098","495.295218,477.284658,459.274098",137.4801025,225.7333391,
LMST01010200_16-17_0_0_ring,448.378497,,"417.336297,399.325737,381.315177","417.336297,399.325737,381.315177",522.6569214,217.4634062,
LMST01010201_15-16_0_0_ring,432.383583,,"401.341383,383.330823,365.320263","401.341383,383.330823,365.320263",560.9685059,216.756402,
LMST01010202_12-13_0_0_ring,428.388669,,"397.346469,379.335909","397.346469,379.335909",588.0952759,224.7016175,
LMST01010202_1-3_0_0_chain,428.388669,"386.34172,368.33116",,"386.34172,368.33116",425.8806763,221.8522029,
LMST01010203_12-13_0_0_ring,460.414881,,"429.372681,411.362121","429.372681,411.362121",600.9902954,224.8923083,
LMST01010204_12-13_0_0_ring,458.399232,,"427.357032,409.346472","427.357032,409.346472",582.1358032,224.7885286,
LMST01010206_12-13_0_0_ring,414.37302,,"383.33082,365.32026","383.33082,365.32026",594.3782959,222.1238231,
LMST01010206_1-3_0_0_chain,414.37302,"372.32607,354.31551",,"372.32607,354.31551",393.2390747,218.3737981,
LMST01010207_12-13_0_0_ring,444.419967,,"413.377767,395.367207","413.377767,395.367207",587.9636841,225.2386127,
LMST01010208_12-13_0_0_ring,428.388669,,397.346469,397.346469,602.4345093,223.7710536,
LMST01010209_16-17_0_0_ring,510.342504,,"479.30030400000004,461.28974400000004,443.27918400000004","479.30030400000004,461.28974400000004,443.27918400000004",250.5380859,225.4936316,
LMST01010210_15-16_0_0_ring,494.34759,,"463.30539000000005,445.29483000000005,427.28427000000005","463.30539000000005,445.29483000000005,427.28427000000005",347.5465088,225.1659974,
LMST01010211_15-16_0_0_ring,432.383583,,"401.341383,383.330823,365.320263","401.341383,383.330823,365.320263",554.8421021,216.756402,
LMST01010212_14-15_0_0_ring,417.383917,,"386.341717,368.331157","386.341717,368.331157",446.864563,220.4660254,
LMST01010222_1-3_0_0_chain,470.399232,"428.35228,410.34172",,"428.35228,410.34172",330.1942749,233.3994643,
LMST01010222_14-15_0_0_ring,470.399232,,"439.357032,421.346472","439.357032,421.346472",573.3267822,230.4071192,
LMST01010223_14-15_0_0_ring,472.414881,,"441.372681,423.362121","441.372681,423.362121",592.9639893,231.9310452,
LMST01010224_14-15_0_0_ring,474.43053,,"443.38833,425.37777","443.38833,425.37777",597.5161743,231.1697212,
LMST01010225_12-13_0_0_ring,444.419967,,"413.377767,395.367207","413.377767,395.367207",585.6405029,225.7201678,
LMST01010226_12-13_0_0_ring,442.367934,,"411.325734,393.315174","411.325734,393.315174",576.34375,228.6031916,
LMST01010226_1-3_0_0_chain,442.367934,"400.32099,382.31043",,"400.32099,382.31043",343.3638916,222.3672954,
LMST01010227_12-13_0_0_ring,474.394146,,"443.351946,425.341386","443.351946,425.341386",588.7283936,227.1219156,
LMST01010228_12-13_0_0_ring,460.378497,,"429.336297,411.325737,393.315177","429.336297,411.325737,393.315177",599.8950806,219.9350357,
LMST01010229_12-13_0_0_ring,456.383583,,"425.341383,407.330823","425.341383,407.330823",587.2059326,231.2430671,
LMST01010229_1-3_0_0_chain,456.383583,"414.33664,396.32608",,"414.33664,396.32608",407.0625,223.8348276,
LMST01010230_12-13_0_0_ring,458.399232,,"427.357032,409.346472","427.357032,409.346472",589.7188721,225.2607127,
LMST01010231_12-13_0_0_ring,444.383583,,"413.341383,395.330823","413.341383,395.330823",597.4415894,223.3827305,
LMST01010232_12-13_0_0_ring,458.399232,,"427.357032,409.346472","427.357032,409.346472",601.9594727,231.6619734,
LMST01010232_1-3_0_0_chain,458.399232,"416.35228,398.34172",,"416.35228,398.34172",441.5462036,223.8603375,
LMST01010233_12-13_0_0_ring,460.414881,,"429.372681,411.362121","429.372681,411.362121",598.2611084,224.9328096,
LMST01010234_12-13_0_0_ring,444.383583,,"413.341383,395.330823,377.320263","413.341383,395.330823,377.320263",603.2922974,228.7686316,
LMST01010234_1-3_0_0_chain,444.383583,"402.33664,384.32608,366.31552",,"402.33664,384.32608,366.31552",439.5790405,221.5001852,
LMST01010235_12-13_0_0_ring,446.399232,,"415.357032,397.346472,379.335912","415.357032,397.346472,379.335912",599.2908936,222.9594464,
LMST01010236_12-13_0_0_ring,428.388669,,397.346469,397.346469,608.6204834,224.7301784,
LMST01010237_12-13_0_0_ring,426.37302,,395.33082,395.33082,548.6647339,225.1837047,
LMST01010237_1-3_0_0_chain,426.37302,384.32607,,384.32607,335.1081848,223.4788411,
LMST01010239_12-13_0_0_ring,414.37302,,383.33082,383.33082,607.3422241,221.9286852,
LMST01010242_12-13_0_0_ring,414.37302,,"383.33082,365.32026","383.33082,365.32026",595.3303223,219.6099936,
LMST01010242_25-26_0_0_ring,414.37302,,"383.33082,365.32026","383.33082,365.32026",597.7875977,219.2960279,
LMST01010243_14-15_0_0_ring,400.393755,,369.351555,369.351555,933.6156006,224.2093404,
LMST01010245_9-10_0_0_ring,458.399232,,427.357032,427.357032,1035.355957,230.9547029,
LMST01010247_12-13_0_0_ring,414.37302,,"383.33082,365.32026","383.33082,365.32026",603.8330688,218.4723444,
LMST01010247_14-15_0_0_ring,414.37302,,"383.33082,365.32026","383.33082,365.32026",607.3550415,219.376368,
LMST01010248_14-15_0_0_ring,414.37302,,383.33082,383.33082,799.8179321,221.7444096,
LMST01010249_12-13_0_0_ring,446.362848,,"415.320648,397.310088,379.299528","415.320648,397.310088,379.299528",606.1351318,218.8967449,
LMST01010250_12-13_0_0_ring,462.357762,,"431.315562,413.305002,395.294442","431.315562,413.305002,395.294442",604.4008789,221.4300041,
LMST01010251_12-13_0_0_ring,462.357762,,"431.315562,413.305002,395.294442","431.315562,413.305002,395.294442",602.5067749,221.4300041,
LMST01010252_14-15_0_0_ring,460.342113,,"429.299913,411.289353","429.299913,411.289353",585.8041992,221.2247666,
LMST01010253_11-12_0_0_ring,430.367934,,"399.325734,381.315174,363.304614","399.325734,381.315174,363.304614",621.1549683,216.0612394,
LMST01010253_13-14_0_0_ring,430.367934,,"399.325734,381.315174,363.304614","399.325734,381.315174,363.304614",546.2558594,216.7691647,
LMST01010254_11-12_0_0_ring,412.35737,,"381.31517,363.30461","381.31517,363.30461",595.755188,217.1849248,
LMST01010254_13-14_0_0_ring,412.35737,,"381.31517,363.30461","381.31517,363.30461",490.587616,216.1320976,
LMST01010254_15-16_0_0_ring,412.35737,,"381.31517,363.30461","381.31517,363.30461",605.1444092,222.3290474,
LMST01010255_11-12_0_0_ring,446.362848,,"415.320648,397.310088,379.299528","415.320648,397.310088,379.299528",612.4116211,219.268981,
LMST01010256_11-12_0_0_ring,446.362848,,"415.320648,397.310088,379.299528","415.320648,397.310088,379.299528",615.4923706,219.268981,
LMST01010257_11-12_0_0_ring,444.347199,,"413.304999,395.294439","413.304999,395.294439",589.9243164,220.4454694,
LMST01010257_13-14_0_0_ring,444.347199,,"413.304999,395.294439","413.304999,395.294439",579.9928589,219.0483724,
LMST01010258_12-13_0_0_ring,462.357762,,"431.315562,413.305002,395.294442","431.315562,413.305002,395.294442",522.1454468,219.0419158,
LMST01010259_12-13_0_0_ring,444.347199,,"413.304999,395.294439,377.283879","413.304999,395.294439,377.283879",373.7203979,217.8076718,
LMST01010259_25-26_0_0_ring,444.347199,,"413.304999,395.294439,377.283879","413.304999,395.294439,377.283879",553.4169922,217.8870704,
LMST01010260_12-13_0_0_ring,446.362848,,"415.320648,397.310088,379.299528","415.320648,397.310088,379.299528",522.2762451,219.5484456,
LMST01010261_10-11_0_0_ring,460.342113,,"429.299913,411.289353,393.278793","429.299913,411.289353,393.278793",421.3643799,217.2310072,
LMST01010261_12-13_0_0_ring,460.342113,,"429.299913,411.289353,393.278793","429.299913,411.289353,393.278793",411.6230774,217.7015837,
LMST01010262_12-13_0_0_ring,464.373411,,"433.331211,415.320651,397.310091","433.331211,415.320651,397.310091",630.9527588,218.4478126,
LMST01010263_12-13_0_0_ring,464.373411,,"433.331211,415.320651,397.310091","433.331211,415.320651,397.310091",629.7524414,218.4478126,
LMST01010267_12-13_0_0_ring,432.383583,,"401.341383,383.330823,365.320263","401.341383,383.330823,365.320263",615.9725952,219.0129058,
LMST01010268_12-13_0_0_ring,432.383583,,"401.341383,383.330823,365.320263","401.341383,383.330823,365.320263",613.6613159,219.0129058,
LMST01010269_12-13_0_0_ring,430.367934,,"399.325734,381.315174","399.325734,381.315174",604.9136963,219.8284799,
LMST01010271_15-16_0_0_ring,430.367934,,"399.325734,381.315174","399.325734,381.315174",640.3717041,221.3554855,
LMST01010272_15-16_0_0_ring,428.352284,,397.310084,397.310084,285.7189331,221.823879,
LMST01010274_14-15_0_0_ring,432.383583,,"401.341383,383.330823","401.341383,383.330823",604.2952271,221.0231075,
LMST01010277_10-11_0_0_ring,442.404318,,"411.362118,393.351558","411.362118,393.351558",589.3768921,226.3608753,
LMST01010277_12-13_0_0_ring,442.404318,,"411.362118,393.351558","411.362118,393.351558",592.217041,224.0592771,
LMST01010278_13-14_0_0_ring,448.378497,,"417.336297,399.325737","417.336297,399.325737",590.9925537,221.872563,
LMST01010279_17-18_0_0_ring,448.378497,,"417.336297,399.325737","417.336297,399.325737",596.2311401,226.8286116,
LMST01010280_17-18_0_0_ring,448.378497,,"417.336297,399.325737","417.336297,399.325737",599.581665,226.8286116,
LMST01010281_7-8_0_0_ring,430.404318,,399.362118,399.362118,975.3383789,228.4197937,
LMST01010282_0-1_0_0_chain,428.388669,"414.37302,396.36246",,"414.37302,396.36246",595.6334839,218.2649563,
LMST01010282_15-16_0_0_ring,428.388669,,"397.346469,379.335909","397.346469,379.335909",547.5421143,219.4387478,
LMST01010283_14-15_0_0_ring,476.337027,,"445.294827,427.284267,409.273707","445.294827,427.284267,409.273707",539.8450317,223.287424,
LMST01010283_18-19_0_0_ring,476.337027,,"445.294827,427.284267,409.273707","445.294827,427.284267,409.273707",461.02771,224.0484217,
LMST01010284_0-1_0_0_chain,430.367934,"416.35228,398.34172,380.33116",,"416.35228,398.34172,380.33116",540.9663086,211.4569616,
LMST01010284_15-16_0_0_ring,430.367934,,"399.325734,381.315174,363.304614","399.325734,381.315174,363.304614",535.647644,209.9312619,
LMST01010285_0-1_0_0_chain,456.383583,"442.36793,424.35737",,"442.36793,424.35737",528.2650757,231.7420887,
LMST01010285_14-15_0_0_ring,456.383583,,"425.341383,407.330823","425.341383,407.330823",540.8781128,232.3244071,
LMST01010285_3-4_0_0_chain,456.383583,"128.10698,358.31042,340.29986",,"128.10698,358.31042,340.29986",468.0792847,227.0675267,
LMST01010286_14-15_0_0_ring,414.37302,,"383.33082,365.32026","383.33082,365.32026",553.6048584,214.5314322,
LMST01010287_12-13_0_0_ring,386.341721,,"355.299521,337.28896100000003","355.299521,337.28896100000003",486.0193176,208.9781793,
LMST01010287_2-3_0_0_chain,386.341721,"344.29477,326.28421",,"344.29477,326.28421",410.7451172,203.727431,
LMST01010288_12-13_0_0_ring,384.326072,,"353.28387200000003,335.27331200000003","353.28387200000003,335.27331200000003",470.9402466,201.9366992,
LMST01010289_14-15_0_0_ring,412.35737,,"381.31517,363.30461","381.31517,363.30461",535.1334839,219.3321756,
LMST01010290_9-10_0_0_ring,416.388669,,"385.346469,367.335909","385.346469,367.335909",592.9697266,223.5290505,
LMST01010293_5-6_0_0_ring,520.363239,,"489.32103900000004,471.31047900000004,453.29991900000005","489.32103900000004,471.31047900000004,453.29991900000005",595.0032349,232.0985802,
LMST01010294_12-13_0_0_chain,450.394146,"406.36793,388.35737,370.34681",,"406.36793,388.35737,370.34681",623.4047852,219.5527827,
LMST01010295_11-12_0_0_ring,408.326072,,377.283872,377.283872,550.7480469,215.7085291,
LMST01010295_13-14_0_0_ring,408.326072,,377.283872,377.283872,718.1060181,216.375082,
LMST01010295_15-16_0_0_ring,408.326072,,377.283872,377.283872,545.8637695,214.2146308,
LMST01010295_4-5_0_0_chain,408.326072,"100.11207,338.24783",,"100.11207,338.24783",685.645813,220.1776346,
LMST01010296_1-3_0_0_chain,486.394146,"444.3472,426.33664",,"444.3472,426.33664",319.0617676,229.4583085,
LMST01010296_15-16_0_0_ring,486.394146,,"455.351946,437.341386","455.351946,437.341386",539.687439,226.553116,
LMST01010299_0-1_0_0_chain,428.352284,"414.33664,396.32608",,"414.33664,396.32608",402.4819946,225.0473899,
LMST01010299_15-16_0_0_ring,428.352284,,"397.310084,379.299524","397.310084,379.299524",425.1480103,221.9858062,
LMST01010300_0-1_0_0_chain,430.367934,"416.35228,398.34172",,"416.35228,398.34172",412.474823,226.8191337,
LMST01010301_16-17_0_0_ring,444.383583,,"413.341383,395.330823","413.341383,395.330823",569.9797363,222.089265,
LMST01010302_11-12_0_0_ring,374.305337,,"343.26313700000003,325.25257700000003","343.26313700000003,325.25257700000003",399.6657104,197.0662924,
LMST01010304_16-17_0_0_ring,442.404318,,"411.362118,393.351558","411.362118,393.351558",507.1480103,229.013081,
LMST01010304_2-4_0_0_chain,442.404318,"386.34172,368.33116",,"386.34172,368.33116",515.0808716,227.3668077,
LMST01010305_16-17_0_0_ring,442.404318,,"411.362118,393.351558","411.362118,393.351558",500.1767578,229.013081,
LMST01010305_2-4_0_0_chain,442.404318,"386.34172,368.33116",,"386.34172,368.33116",515.0808716,227.3668077,
LMST01010306_16-17_0_0_ring,444.419967,,"413.377767,395.367207","413.377767,395.367207",594.2250977,225.2769883,
LMST01010309_21-22_0_0_ring,444.347199,,"413.304999,395.294439","413.304999,395.294439",381.6395569,219.9185034,
LMST01010310_17-18_0_0_ring,444.347199,,"413.304999,395.294439","413.304999,395.294439",337.4632263,220.4237006,
LMST01010311_14-15_0_0_ring,412.320986,,"381.278786,363.268226","381.278786,363.268226",392.8461304,211.5244188,
LMST01010311_18-19_0_0_ring,412.320986,,"381.278786,363.268226","381.278786,363.268226",443.671936,215.4026896,
LMST01010311_3-4_0_0_chain,412.320986,"356.25839,338.24783",,"356.25839,338.24783",434.0112305,214.1297712,
LMST01010312_31-32_0_0_ring,648.410578,,"617.368378,599.357818","617.368378,599.357818",682.663269,261.904528,
LMST01010313_15-16_0_0_ring,400.35737,,369.31517,369.31517,633.611145,224.8612368,
LMST01010314_12-14_0_0_ring,458.326463,,"427.284263,409.273703","427.284263,409.273703",273.8995361,213.9487888,
LMST01010314_18-19_0_0_ring,458.326463,,"427.284263,409.273703","427.284263,409.273703",228.8447571,219.004018,
LMST01010315_13-14_0_0_ring,402.37302,,"371.33082,353.32026","371.33082,353.32026",590.4800415,214.7808868,
LMST01010316_4-5_0_0_chain,416.388669,"100.11207,346.31042,328.29986",,"100.11207,346.31042,328.29986",540.3152466,219.3292475,
LMST01010317_14-15_0_0_ring,414.37302,,"383.33082,365.32026","383.33082,365.32026",543.6708984,217.4541627,
LMST01010317_4-5_0_0_chain,414.37302,"100.11207,344.29477,326.28421",,"100.11207,344.29477,326.28421",488.3510132,217.9978303,
LMST01010318_12-13_0_0_ring,462.357762,,"431.315562,413.305002,395.294442","431.315562,413.305002,395.294442",629.5305176,218.4800151,
LMST01010319_26-27_0_0_ring,462.357762,,"431.315562,413.305002,395.294442","431.315562,413.305002,395.294442",555.3557129,212.9840573,
LMST01010320_25-26_0_0_ring,448.342113,,"417.299913,399.289353,381.278793","417.299913,399.289353,381.278793",507.096344,208.5296975,
LMST01010324_11-12_0_0_ring,428.352284,,"397.310084,379.299524","397.310084,379.299524",528.6853638,215.0146923,
LMST01010324_13-14_0_0_ring,428.352284,,"397.310084,379.299524","397.310084,379.299524",572.0557251,214.6488234,
LMST01010330_24-25_0_0_ring,430.404318,,"399.362118,381.351558","399.362118,381.351558",761.0557251,221.1968312,
LMST01010331_25-26_0_0_ring,444.419967,,"413.377767,395.367207","413.377767,395.367207",579.6532593,224.5578767,
LMST01010332_1-3_0_0_chain,456.419967,"414.37302,396.36246",,"414.37302,396.36246",470.7593079,233.706246,
LMST01010332_26-27_0_0_ring,456.419967,,"425.377767,407.367207","425.377767,407.367207",586.3441162,225.7310431,
LMST01010333_4-5_0_0_chain,416.388669,"100.11207,346.31042,328.29986",,"100.11207,346.31042,328.29986",533.9718018,219.7793103,
LMST01010336_9-10_0_0_ring,506.383974,,"475.34177400000004,457.33121400000005,439.32065400000005","475.34177400000004,457.33121400000005,439.32065400000005",590.6339111,230.5823775,
LMST01010337_10-11_0_0_ring,458.362848,,"427.320648,409.310088","427.320648,409.310088",526.4069824,228.4617024,
LMST01010337_25-26_0_0_chain,458.362848,"388.2846,370.27404,100.11207",,"388.2846,370.27404,100.11207",424.9128723,221.4078935,
LMST01010338_10-11_0_0_ring,460.378497,,"429.336297,411.325737","429.336297,411.325737",572.1480103,224.9956358,
LMST01010339_17-18_0_0_ring,460.342113,,"429.299913,411.289353,393.278793","429.299913,411.289353,393.278793",376.8902588,218.5116059,
LMST01010339_21-22_0_0_ring,460.342113,,"429.299913,411.289353,393.278793","429.299913,411.289353,393.278793",369.8986511,222.5043235,
LMST01010341_17-18_0_0_ring,460.342113,,"429.299913,411.289353,393.278793","429.299913,411.289353,393.278793",335.5431824,222.5197309,
LMST01010342_1-10_0_0_chain,458.326463,"316.22709,298.21653,172.1332,154.12264",,"316.22709,298.21653,172.1332,154.12264",229.6109314,229.3444794,
LMST01010342_17-18_0_0_ring,458.326463,,"427.284263,409.273703,391.263143","427.284263,409.273703,391.263143",337.0881958,222.3892614,
LMST01010345_15-16_0_0_ring,432.383583,,"401.341383,383.330823,365.320263","401.341383,383.330823,365.320263",593.9259644,219.1454039,
LMST01010346_1-3_0_0_chain,444.347199,"402.30025,384.28969,366.27913",,"402.30025,384.28969,366.27913",236.1281128,221.6692045,
LMST01010346_25-26_0_0_ring,444.347199,,"413.304999,395.294439,377.283879","413.304999,395.294439,377.283879",520.2313232,214.4705804,
LMST01010347_25-26_0_0_ring,446.362848,,"415.320648,397.310088,379.299528","415.320648,397.310088,379.299528",569.6420288,215.2217373,
LMST01010348_1-3_0_0_chain,576.425836,"534.37889,516.36833,498.35777",,"534.37889,516.36833,498.35777",503.4614868,260.6228738,
LMST01010348_14-15_0_0_ring,576.425836,,"545.383636,527.373076,509.362516","545.383636,527.373076,509.362516",547.3868408,260.5341549,
LMST01010349_19-20_0_0_ring,414.37302,,383.33082,383.33082,721.4830322,225.985029,
LMST01010350_1-2_0_0_chain,414.37302,"330.27912,312.26856,114.12772",,"330.27912,312.26856,114.12772",509.1534119,216.9646442,
LMST01010350_14-15_0_0_ring,414.37302,,"383.33082,365.32026","383.33082,365.32026",507.0413208,218.1944338,
LMST01010351_13-14_0_0_ring,414.37302,,"383.33082,365.32026","383.33082,365.32026",563.1624146,218.8491891,
LMST01010351_15-16_0_0_ring,414.37302,,"383.33082,365.32026","383.33082,365.32026",596.2832642,224.7001432,
LMST01010352_15-16_0_0_ring,416.388669,,"385.346469,367.335909","385.346469,367.335909",612.0219727,225.8541183,
LMST01010353_15-16_0_0_ring,412.35737,,381.31517,381.31517,719.3054199,225.9060479,
LMST01010353_19-20_0_0_ring,412.35737,,381.31517,381.31517,767.9660034,224.6268756,
LMST01010354_12-13_0_0_ring,430.367934,,"399.325734,381.315174,363.304614","399.325734,381.315174,363.304614",620.6329956,218.8397888,
LMST01010354_14-15_0_0_ring,430.367934,,"399.325734,381.315174,363.304614","399.325734,381.315174,363.304614",567.0993042,221.3041421,
LMST01010355_12-13_0_0_ring,430.367934,,"399.325734,381.315174,363.304614","399.325734,381.315174,363.304614",621.5670166,218.8397888,
LMST01010355_14-15_0_0_ring,430.367934,,"399.325734,381.315174,363.304614","399.325734,381.315174,363.304614",575.4205933,221.3041421,
LMST01010356_13-14_0_0_ring,430.367934,,"399.325734,381.315174,363.304614","399.325734,381.315174,363.304614",577.9796143,218.6260682,
