,mz,diagIonsInChian,diagIonsInRing,characteristicMass,RT,CCS,Standard
LMST01010094_12-13_0_0_ring,430.404318,,"399.362118,381.351558","399.362118,381.351558",821.151028,222.9738657,
LMST01010095_14-15_0_0_ring,414.37302,,"383.33082,365.32026","383.33082,365.32026",543.4916382,217.4541627,
LMST01010095_4-5_0_0_chain,414.37302,"100.11207,344.29477,326.28421",,"100.11207,344.29477,326.28421",488.3510132,217.9978303,
LMST01010096_12-13_0_0_ring,416.388669,,"385.346469,367.335909","385.346469,367.335909",591.0354614,220.1217634,
LMST01010097_11-12_0_0_ring,416.388669,,"385.346469,367.335909","385.346469,367.335909",590.5794067,219.0715714,
LMST01010099_4-5_0_0_chain,416.388669,"100.11207,346.31042,328.29986",,"100.11207,346.31042,328.29986",500.3239746,219.7793103,
LMST01010100_16-17_0_0_ring,446.362848,,"415.320648,397.310088,379.299528","415.320648,397.310088,379.299528",503.2403564,218.6143509,
LMST01010101_16-17_0_0_ring,448.378497,,"417.336297,399.325737,381.315177","417.336297,399.325737,381.315177",600.0368652,220.4550419,
LMST01010103_22-23_0_0_ring,604.347982,,"573.305782,555.295222,537.284662","573.305782,555.295222,537.284662",60,242.7943207,
LMST01010103_7-8_0_0_chain,604.347982,"144.1019,490.27991,472.26935,454.25879",,"144.1019,490.27991,472.26935,454.25879",60,241.8864968,
LMST01010104_22-23_0_0_ring,588.353067,,"557.310867,539.300307,521.289747","557.310867,539.300307,521.289747",60,242.9446788,
LMST01010104_7-8_0_0_chain,588.353067,"144.1019,474.28499,456.27443,438.26387",,"144.1019,474.28499,456.27443,438.26387",60,242.2776331,
LMST01010105_22-23_0_0_ring,590.368717,,"559.326517,541.3159569999999,523.305397","559.326517,541.3159569999999,523.305397",309.50354,242.1020506,
LMST01010105_7-8_0_0_chain,590.368717,"144.1019,476.30064,458.29008,440.27952",,"144.1019,476.30064,458.29008,440.27952",176.8199463,242.1568076,
LMST01010106_19-20_0_0_ring,546.342504,,"515.300304,497.2897439999999,479.279184","515.300304,497.2897439999999,479.279184",60,235.3927073,
LMST01010106_4-5_0_0_chain,546.342504,"102.09133,474.28499,456.27443,438.26387",,"102.09133,474.28499,456.27443,438.26387",60,229.1971503,
LMST01010107_22-23_0_0_ring,586.337418,,"555.295218,537.2846579999999,519.274098","555.295218,537.2846579999999,519.274098",74.33270264,241.2956942,
LMST01010107_25-26_0_0_ring,586.337418,,"555.295218,537.2846579999999,519.274098","555.295218,537.2846579999999,519.274098",60,240.9962392,
LMST01010107_7-8_0_0_chain,586.337418,"144.1019,472.26934,454.25878,436.24822",,"144.1019,472.26934,454.25878,436.24822",60,241.2212028,
LMST01010108_19-20_0_0_ring,548.358153,,"517.315953,499.305393,481.29483300000004","517.315953,499.305393,481.29483300000004",222.6704407,235.9145224,
LMST01010108_4-5_0_0_chain,548.358153,"102.09133,476.30064,458.29008,440.27952",,"102.09133,476.30064,458.29008,440.27952",189.085083,229.6427278,
LMST01010109_9-10_0_0_ring,564.353067,,"533.310867,515.300307,497.28974700000003","533.310867,515.300307,497.28974700000003",60,236.8250918,
LMST01010110_19-20_0_0_ring,544.326855,,"513.284655,495.274095,477.26353500000005","513.284655,495.274095,477.26353500000005",60,233.7484546,
LMST01010110_22-23_0_0_ring,544.326855,,"513.284655,495.274095,477.26353500000005","513.284655,495.274095,477.26353500000005",60,227.374269,
LMST01010110_4-5_0_0_chain,544.326855,"102.09133,472.26934,454.25878,436.24822",,"102.09133,472.26934,454.25878,436.24822",60,232.840817,
LMST01010111_5-7_0_0_ring,562.337418,,"531.295218,513.2846579999999,495.274098","531.295218,513.2846579999999,495.274098",60,235.3595827,
LMST01010111_9-10_0_0_ring,562.337418,,"531.295218,513.2846579999999,495.274098","531.295218,513.2846579999999,495.274098",60,235.116337,
LMST01010112_19-20_0_0_ring,546.342504,,"515.300304,497.2897439999999,479.279184","515.300304,497.2897439999999,479.279184",60,227.526524,
LMST01010112_22-23_0_0_ring,546.342504,,"515.300304,497.2897439999999,479.279184","515.300304,497.2897439999999,479.279184",60,232.9272558,
LMST01010113_19-20_0_0_ring,548.358153,,"517.315953,499.305393,481.29483300000004","517.315953,499.305393,481.29483300000004",237.5886841,235.9145224,
LMST01010113_4-5_0_0_chain,548.358153,"102.09133,476.30064,458.29008,440.27952",,"102.09133,476.30064,458.29008,440.27952",202.7619934,229.6427278,
LMST01010114_19-20_0_0_ring,550.373803,,"519.331603,501.3210429999999,483.310483","519.331603,501.3210429999999,483.310483",212.1985474,229.7474073,
LMST01010115_22-23_0_0_ring,590.368717,,"559.326517,541.3159569999999,523.305397","559.326517,541.3159569999999,523.305397",276.4425964,243.0793447,
LMST01010115_7-8_0_0_chain,590.368717,"144.1019,476.30064,458.29008,440.27952",,"144.1019,476.30064,458.29008,440.27952",236.4180603,242.8508336,
LMST01010116_17-18_0_0_ring,528.331941,,"497.28974100000005,479.27918100000005","497.28974100000005,479.27918100000005",60,223.5925418,
LMST01010116_20-21_0_0_ring,528.331941,,"497.28974100000005,479.27918100000005,461.26862100000005","497.28974100000005,479.27918100000005,461.26862100000005",60,224.8950556,
LMST01010120_12-13_0_0_ring,460.342113,,"429.299913,411.289353","429.299913,411.289353",539.7822876,219.5588877,
LMST01010121_12-13_0_0_ring,412.35737,,"381.31517,363.30461","381.31517,363.30461",591.6704102,221.4497744,
