LMID,MZ,diagIonsInChian,diagIonsInRing,MS2,RT,CCS,Standard
LMST01031250_0-1_0_0_chain,534.415273,"520.39962,502.38906,484.3785",,"520.39962,502.38906,484.3785",577.3179638275565,235.3491617,
LMST01031251_1-2_0_0_chain,490.425445,"128.14337,392.3159,374.30534,356.29478",,"128.14337,392.3159,374.30534,356.29478",568.4322956787853,227.0981569,
LMST01031252_5-6_0_0_chain,492.404709,"114.12772,408.31081,390.30025,372.28969",,"114.12772,408.31081,390.30025,372.28969",569.5843246306712,228.0746348,
LMST01031253_0-1_0_0_chain,532.399624,"518.38397,500.37341,482.36285",,"518.38397,500.37341,482.36285",538.4990955098567,238.3696217,
LMST01031253_2-3_0_0_chain,532.399624,"112.11207,450.32138,432.31082,414.30026",,"112.11207,450.32138,432.31082,414.30026",496.7534667352197,232.6239848,
LMST01031254_0-1_0_0_chain,490.38906,"476.37341,458.36285,440.35229",,"476.37341,458.36285,440.35229",572.2244251014553,224.7771564,
LMST01031254_2-3_0_0_chain,490.38906,"112.11207,408.31081,390.30025,372.28969",,"112.11207,408.31081,390.30025,372.28969",535.1031953928218,224.2560413,
LMST01031255_16-17_0_0_ring,566.405101,,"535.362901,517.3523409999999,499.34178099999997","535.362901,517.3523409999999,499.34178099999997",613.1179582152212,242.4745963,
LMST01031257_12-14_0_0_chain,566.405101,"368.24313,350.23257,332.22201,228.19579",,"368.24313,350.23257,332.22201,228.19579",584.0242674135841,243.539271,
LMST01031258_0-1_0_0_chain,478.38906,"464.37341,446.36285,428.35229",,"464.37341,446.36285,428.35229",526.0001437261714,228.2387012,
LMST01031259_0-1_0_0_chain,476.373411,"462.35776,444.3472,426.33664",,"462.35776,444.3472,426.33664",453.359435462701,229.2160534,
LMST01031259_18-19_0_0_ring,476.373411,,"445.331211,427.320651,409.310091","445.331211,427.320651,409.310091",389.8823278627519,227.2135416,
LMST01031260_0-1_0_0_chain,502.38906,"488.37341,470.36285,452.35229",,"488.37341,470.36285,452.35229",439.93855136937407,238.2725563,
LMST01031260_18-19_0_0_ring,502.38906,,"471.34686,453.3363,435.32574","471.34686,453.3363,435.32574",508.1249647545384,234.6714627,
LMST01031261_0-1_0_0_chain,460.378497,"446.36285,428.35229,410.34173",,"446.36285,428.35229,410.34173",485.03944558134674,229.6522026,
LMST01031261_18-19_0_0_ring,460.378497,,"429.336297,411.325737,393.315177","429.336297,411.325737,393.315177",565.6808527252517,221.3714039,
LMST01031262_0-1_0_0_chain,502.38906,"488.37341,470.36285,452.35229",,"488.37341,470.36285,452.35229",489.29131776103003,234.3923565,
LMST01031262_12-13_0_0_ring,502.38906,,"471.34686,453.3363,435.32574","471.34686,453.3363,435.32574",511.4044988452728,231.4764959,
LMST01031264_0-1_0_0_chain,442.367934,"428.35228,410.34172",,"428.35228,410.34172",538.1712456156049,230.0201775,
LMST01031264_17-18_0_0_ring,442.367934,,"411.325734,393.315174","411.325734,393.315174",347.46153653721836,223.9370297,
